"Observed"	"Shannon"	"InvSimpson"	"Evenness"	"Samples"	"Compartment"	"Management"	"Plot"	"Type.of.sample"	"NA"
"RT.1.12"	1017	6.38650025846933	364.904861528624	0.92525641084264	"RT.1.12"	"Rhizosphere"	"Traditional"	"Traditional1"	"Traditional Rhizosphere"	"RT.1.12"
"RT.2.01"	1198	6.42935592107887	307.738099808765	0.909069800434302	"RT.2.01"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.01"
"RT.2.02"	1271	6.52737333265024	323.636682786701	0.914976156195773	"RT.2.02"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.02"
"RT.2.03"	1238	6.50541386614022	323.509050463846	0.917362272698583	"RT.2.03"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.03"
"RT.2.04"	1231	6.54035836322824	367.323910107957	0.922247233543803	"RT.2.04"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.04"
"RT.2.05"	1316	6.63435339943963	386.687789437632	0.926925651010927	"RT.2.05"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.05"
"RT.2.06"	1195	6.53589357764728	382.578661060425	0.925323043403361	"RT.2.06"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.06"
"RT.2.07"	1365	6.69228276686097	470.920951071783	0.928163401344977	"RT.2.07"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.07"
"RT.2.08"	1249	6.58075419617674	424.81893379564	0.92527902123434	"RT.2.08"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.08"
"RT.2.09"	1331	6.54503088874965	309.966078228782	0.91169998183031	"RT.2.09"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.09"
"RT.2.10"	1255	6.5956347450174	424.885975862662	0.926143910380699	"RT.2.10"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.10"
"RT.2.11"	1345	6.66470715187774	462.053694523836	0.92791058329803	"RT.2.11"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.11"
"RT.2.12"	1215	6.53740990958882	391.129306106029	0.92412004253991	"RT.2.12"	"Rhizosphere"	"Traditional"	"Traditional2"	"Traditional Rhizosphere"	"RT.2.12"
